,0
0,16663.370604381023
1,6497.094054903762
2,12219.201531550323
3,10171.02331680253
4,9021.992351149529
5,17300.41224174379
6,13785.676963796912
7,6598.1738329613145
8,8642.524932542117
9,10915.970854546424
10,15961.83368488583
11,17810.349958178835
12,9895.441538285377
13,8862.569289496467
14,19735.486072682223
15,15022.619154833024
16,13583.399052046501
17,10005.514158519742
18,17287.300551044144
19,17441.912101525115
20,12765.409583690343
21,6751.669119919898
22,3460.9459569737373
23,9533.61885444224
24,9458.372621776114
25,17082.200878149946
26,13506.017457840731
27,10231.252546940326
28,11467.831525642541
29,20514.01122127626
30,16060.044561159477
31,24898.71126604463
32,25917.817177475692
33,6912.597493155103
34,19322.702965187593
35,11602.261029629677
36,4518.40386658848
37,11507.894906438109
38,10281.113075402958
39,13242.944503451705
40,4140.636588573412
41,12348.416382040268
42,20008.309418544406
43,17224.528853746495
44,11582.73766721195
45,11633.747264563877
46,20754.481312548727
47,19499.666868723754
48,6260.178575490099
49,16849.984035458736
50,6599.657031470881
51,12224.560967653568
52,9523.386656186005
53,12047.297561401268
54,26313.255592930247
55,4650.344678119291
56,9210.860778322618
57,6989.504202614175
58,7975.744714889632
59,1165.5748012895565
60,0.0
61,12359.605197831028
62,10550.206712535379
63,21172.03364226404
64,12270.254683651103
65,6972.318442698728
66,4064.41596970908
67,721.6639745595021
68,18390.66207034493
69,3453.2147408014935
70,15374.015106568266
71,18048.71349477266
72,15046.985535448926
73,17901.069347588782
74,9415.943343460793
75,15001.99691987734
76,14719.846806682785
77,7934.681803282729
78,16500.486834879586
79,11378.441089545675
80,5703.138294910044
81,9660.356587450908
82,12190.506151502675
83,23301.203042624795
84,7543.316034548363
85,12622.28945494628
86,4369.515059418984
87,6720.503389652411
88,1297.971900292585
89,10096.344270447713
90,6172.466541687492
91,19422.86810721527
92,10924.396514148451
93,13246.759599485864
94,5751.446275981405
95,14833.734358605769
96,9450.041703976647
97,15670.864902268047
98,7502.718229135018
99,20544.419744717976
100,8960.278175767337
101,13982.75793862062
102,9440.616157660814
103,14512.471560032282
104,8356.60477349566
105,5938.693190460974
106,17475.45329784044
107,8552.62200109302
108,8405.00861887008
109,7313.721047794854
110,2844.9134665414604
111,5440.81368243551
112,15810.935767890624
113,5379.27569677087
114,13731.05269770771
115,4289.146004359194
116,8360.035907773941
117,19209.663576703737
118,22372.28893096627
119,23932.995542524586
120,8074.322040876628
121,8459.697965515035
122,18079.04857350771
123,13132.190711677795
124,17422.556090680184
125,18155.48759381537
126,7189.116271981591
127,2342.411854375903
128,17693.504259978377
129,9520.304525104133
130,1908.8858139639924
131,13812.667264895965
132,10022.9959845763
133,20086.38533890256
134,7254.32239058557
135,21245.07239563568
136,14353.593664886364
137,3372.408235058625
138,9477.16543472145
139,8824.164376484005
140,15961.938179434568
141,6095.365317857795
142,23234.630202525062
143,25087.505447339543
144,18676.256006888274
145,18412.939638899203
146,9136.306063061267
147,21553.944247698833
148,23699.84330182147
149,10701.3203339662
150,8880.889932272163
151,165.80995625635114
152,16209.246946670653
153,9531.426890591101
154,18071.539350470935
155,16751.914179150655
156,9748.24951637791
157,16391.531499617486
158,10088.710315114673
159,28128.815843774428
160,6668.798164662585
161,9638.050748424881
162,13418.949202320771
163,21830.78186472843
164,14812.580810663916
165,4721.3575093433465
166,12228.70411322145
167,15856.91957225444
168,7166.156451909817
169,6514.83847565981
170,6237.465394684215
171,7318.202936720496
172,4975.902223641766
173,5448.824315811529
174,18257.61477934658
175,10297.676248576841
176,10137.743866343983
177,5961.281773044531
178,10372.674555144607
179,4015.3579719049303
180,21679.541160516514
181,6625.888773272942
182,0.0
183,31429.70771810555
184,11704.730139478022
185,8417.677135034872
186,14673.417263201263
187,9903.49909535086
188,7534.754940185885
189,17759.112275295745
190,1291.7174171753795
191,9349.335529393575
192,7562.510823710589
193,2832.5893839374185
194,13176.329201165703
195,16678.523002444534
196,1467.4535861753684
197,473.83332014908956
198,10144.469594927526
199,10270.447965908032
200,10391.44829363218
201,20336.714507048426
202,17132.3658796674
203,12534.203437103264
204,898.1397606849641
205,5564.412758655744
206,7258.281677838204
207,3145.6849349789118
208,4296.3483637693425
209,17399.94539994825
210,15013.622814492759
211,9763.673184032043
212,22260.074167952567
213,10533.501447308794
214,10795.117988893733
215,13092.197933252915
216,13993.588738172737
217,8884.87645433723
218,7674.998023422195
219,8983.053397437106
220,29155.572735189387
221,22419.575449756157
222,21220.808389510086
223,0.0
224,16527.464691727393
225,10878.066895372845
226,18611.144018087725
227,12925.475433030908
228,25986.430602469685
229,9118.20147545392
230,17259.068461341056
231,8734.987203482495
232,12363.861236440585
233,6051.52703113688
234,8159.436708984511
235,24480.687742275535
236,13206.707494608752
237,20949.05203221974
238,18367.592680602538
239,16556.990212966513
240,10848.51223960868
241,4970.0252975616895
242,15408.43794424583
243,6622.41720283348
244,13874.822675462347
245,12630.041055357375
246,8098.451123533458
247,10602.838635277265
248,6892.851019579393
249,12699.613160744047
250,11108.759858640871
251,11662.634860772203
252,8571.57602283344
253,1953.901764570248
254,8347.403160294918
255,15115.481208265934
256,9783.664149119504
257,12849.750062952771
258,23647.732841562138
259,26211.429080389033
260,19935.428328618902
261,4350.7469831072885
262,5941.541991456266
263,14370.089084458828
264,8465.593217698835
265,11788.563202347243
266,16213.506498198723
267,16623.34842217152
268,13676.902043299706
269,11263.940804378173
270,15029.185284297106
271,14700.736208496979
272,4896.906877990477
273,7356.046768432498
274,4329.091894712052
275,12702.848487579526
276,6166.4371051588605
277,24671.36221820957
278,7192.323521947968
279,3054.6032128736697
280,18830.836285042853
281,18001.76494365798
282,12271.561360804233
283,9087.076125357627
284,12781.723776598985
285,8901.201899686435
286,8225.808203658518
287,13980.751238480909
288,6151.852206821146
289,10168.670831848227
290,15793.949215101413
291,15259.752124208419
292,6008.53088551906
293,8344.50059976938
294,13779.740771729965
295,12052.179211353534
296,18923.747050676888
297,8032.890820901506
298,9565.93945260033
299,18185.08781084497
300,18972.51993688829
301,6440.9838617003115
302,20898.085661121848
303,3939.859992108897
304,4473.91582789291
305,14560.224795705057
306,10748.980668375152
307,4109.635780591241
308,18029.79308302173
309,9748.554623663571
310,16186.944084702402
311,20898.000803431438
312,6395.965691417587
313,8391.298642770518
314,16048.170740962814
315,28565.92448019187
316,10315.402223674762
317,22812.807266474032
318,1164.0283976966894
319,13372.399738206994
320,9117.799342870203
321,20612.37360370136
322,8673.955107773116
323,3192.9073171029595
324,13340.76043527139
325,7718.976955162769
326,12536.73454693392
327,2398.163930865434
328,3305.7330644854665
329,12691.995175264863
330,26907.99980441545
331,5837.946838490621
332,7872.343508987004
333,7833.880467379924
334,17172.577563889063
335,10509.313536503629
336,16193.054061439849
337,27170.65878974604
338,5610.24454673021
339,2865.7418851956754
340,12525.014082056965
341,14923.210705678473
342,13776.02587231867
343,7117.677936593551
344,15753.575707423806
345,19560.760989714094
346,15812.97739689608
347,9817.130072012144
348,18635.474044473085
349,9932.028877128643
350,11234.265327332076
351,18696.394199990682
352,9776.249600176161
353,12437.58576217819
354,12197.450429171135
355,10569.899468900228
356,19549.895184953304
357,12855.366036808002
358,24452.803121097488
359,13503.43196467089
360,19971.97783758139
361,5032.145231729191
362,12436.429846698506
363,8318.477501094188
364,20060.490210866075
365,18607.73380967789
366,21332.02640236827
367,4875.96436344953
368,15696.029146830086
369,10244.215595949601
370,11719.766854597663
371,14836.62300385641
372,18657.20409550026
373,12168.824779726507
374,9246.788581797475
375,5143.310268747766
376,12046.592007958257
377,10965.168424250238
378,4901.799508485652
379,16788.406464916363
380,17100.111353719214
381,9125.125889228468
382,27.567966394359246
383,12346.480869717729
384,1572.8294190728775
385,19805.371893481744
386,13536.431387747012
387,17472.155629399145
388,12619.8467981211
389,8060.969138242464
390,13967.631271013699
391,259.7331571992909
392,10196.71918739067
393,9131.546509319312
394,4451.692690830707
395,7348.626088231285
396,10658.052408273958
397,5320.249706988347
398,11338.48570158238
399,13836.613931479631
400,13942.40208987525
401,4030.154328806617
402,14933.092863419952
403,3725.3153964705343
404,26218.762074921367
405,7565.513577458245
406,3933.1113151615573
407,12697.276356785937
408,14662.527749027722
409,17935.09949762049
410,13251.316132218897
411,4754.227737892659
412,11796.353825919083
413,4092.7589930719405
414,13184.909162327458
415,17517.11121832412
416,9513.165614134276
417,11601.142834207945
418,15486.187281814404
419,19929.936969910937
420,1739.5914364093624
421,16936.597291747894
422,14547.046636504092
423,3207.184312148238
424,19461.858494984248
425,11087.52672905696
426,19205.113875535084
427,5645.266462298423
428,15839.067609739985
429,5494.946098170665
430,5000.587848385985
431,20100.643582632256
432,12656.198899064257
433,13835.588753216973
434,21830.5590144414
435,11850.808623193036
436,11471.827816626224
437,24118.331944919468
438,17864.179247575637
439,13757.334143697066
440,29938.0433823676
441,17576.857525401967
442,14433.145159717533
443,21289.369153318374
444,15739.737317293475
445,7347.328580292073
446,12658.528055227922
447,14874.178842341498
448,10998.029986955451
449,1143.8411882027867
450,7658.275604470371
451,9331.283393331236
452,11114.273484071884
453,8445.005777095146
454,18334.318921439364
455,1308.4096742756083
456,8444.349839951115
457,10171.183399176458
458,17793.968481012285
459,14697.89207757805
460,13320.333248280454
461,8953.235895809528
462,9231.381160830242
463,13253.324787590944
464,6196.84618141067
465,4984.215093302613
466,18588.145768206785
467,6258.9734160707885
468,4773.064339711789
469,11515.514303762815
470,10444.117072310226
471,13795.293464648217
472,23720.98393600702
473,10379.009280409591
474,16825.543653519242
475,10470.948559529264
476,14708.959307244004
477,15919.388468787583
478,18503.860639426115
479,8994.4085062854
480,16677.28498482055
481,8423.091602524379
482,24805.338339331516
483,7060.720781876938
484,14414.256960240265
485,14726.400502015662
486,10033.330812291795
487,17585.27240486213
488,19200.50792517679
489,12326.470942187523
490,1876.9554057700443
491,13042.475071521665
492,2843.7384602132443
493,20600.23685952321
494,10558.13802416654
495,6458.689503463298
496,8383.382033072921
497,8125.87258668046
498,16748.685771681994
499,4247.274093392873
500,4362.2990731011305
501,15606.112438245793
502,20993.905418313676
503,6484.07088056521
504,17058.919948346884
505,12278.489906464703
506,21044.714200357557
507,15208.95788378761
508,9639.539178998064
509,3504.9601455276206
510,11143.367276156045
511,16875.76260907104
512,8600.059740129167
