,c_nf_per_km,r_ohm_per_km,x_ohm_per_km
0,601.4926042777602,0.23016231,0.42130935
1,203.71832715762602,1.31979375,8.8401375
2,305.5245860462146,0.030324,0.1805
3,139.97699288553122,0.20938,2.710388
4,184.7255433670475,0.460636,4.669896
5,305.5245860462146,0.030324,0.1805
6,88.2189152940715,1.49000229,3.98999601
7,184.4577319785131,3.57999831,8.38998972
8,0.0,3.8900169,10.62001206
9,0.0,0.19000575,0.39999825
10,0.0,0.03999375,0.089991
11,477.229044174809,3.12001875,20.79016875
12,50.92958178940651,0.330075,2.21180625
13,296.736351443695,2.65998411,5.45999454
14,312.7761542244353,1.30000626,3.52998891
15,425.0547736896172,1.19800296,3.17901024
16,261.721461973339,2.189925,7.670025
17,18.86280807015056,0.14023125,1.02009375
18,381.6574832860463,4.4600625,17.20996875
19,222.5811352277766,2.3500125,10.03995
20,391.7176475901266,4.48588125,17.749125
21,350.21946983579534,3.54020625,16.63993125
22,95.57156088876283,1.10008125,4.42006875
23,32.06677371925595,0.3898125,1.58000625
24,178.56791639742528,2.08018125,8.1698625
25,44.52811427224772,0.119852,1.309708
26,206.98960050317135,0.797088,9.712344
27,541.1708937542978,0.739328,11.569328
28,420.1514148658622,1.598508,13.25592
29,38.13546420345968,0.089528,1.070004
30,541.1708937542978,0.739328,11.579436
31,405.82306126340626,1.664932,18.949612
32,452.0786334146084,0.0799875,0.3402
33,12.57520538010037,0.02278125,0.04505625
34,80.19901390370137,1.32001002,3.61000395
35,168.41792919777285,2.83001607,7.18000038
36,168.41792919777285,2.83997826,7.2200079
37,343.9318671457452,2.419875,14.4898875
38,343.9318671457452,2.419875,14.47014375
39,184.85551908747544,0.13010625,0.2602125
40,1349.9482975537749,0.13010625,1.08995625
41,585.3758104436723,0.14023125,0.43993125
42,0.0,0.03000564,0.1000188
43,1171.3803811563496,0.11998125,0.4201875
44,865.8028904199106,0.0901125,0.309825
45,127.63833460801877,1.30005,5.94995625
46,143.35734133314426,1.30005,5.88009375
47,200.4975347592534,4.06000917,8.99998533
48,368.9154639570262,7.04699919,16.08599979
49,136.33832363629227,3.50319816,6.41255454
50,80.19901390370137,1.72000584,4.7100123
51,80.19901390370137,2.68998975,5.55001146
52,168.41792919777285,1.87999623,6.4000125
53,80.19901390370137,0.15999039,0.66000501
54,490.4330098239146,0.05011875,0.3898125
55,484.14540713386424,0.05011875,0.3898125
56,38.35437640930614,0.2602125,1.73998125
57,789.0941376012984,2.772225,18.66999375
58,38.35437640930614,0.2602125,1.75010625
59,117.57817030393848,1.76023125,5.659875
60,95.57156088876283,0.309825,1.58000625
61,32.07960556148054,0.54998433,1.40998725
62,133.925937298069,0.01215,0.0729
63,101.85916357881301,0.03594375,0.0820125
64,160.39802780740274,2.69999163,6.86998179
65,80.19901390370137,1.08000459,2.72999727
66,160.39802780740274,1.2299931,8.05000518
67,12.57520538010037,0.13010625,0.58978125
68,120.29852085555203,1.87801173,5.22300555
69,216.5373375399937,3.01001022,8.92000998
70,80.19901390370137,1.13001399,3.55999455
71,240.59704171110405,3.19000437,10.15000308
72,0.0,0.01000188,0.02000376
73,0.0,0.008991,0.023004
74,0.0,1.160001,2.649996
75,216.5373375399937,2.17298781,6.24899205
76,96.23881668444163,1.53000981,4.09001481
77,48.11940834222082,0.50001462,2.07999414
78,0.0,0.1400085,0.42000525
79,240.59704171110405,1.27500156,3.28998348
80,96.23881668444163,1.01499237,3.9170061
81,432.5870650754528,2.89018125,19.2000375
82,130.78213595304388,0.8899875,5.8998375
83,108.1467662688632,0.70014375,4.7901375
84,76.07999254960724,0.78975,3.50983125
85,318.1526961165394,3.22785,14.54608125
86,120.72197164896357,0.799875,5.37991875
87,2367.9111730729,0.5497875,1.7901
88,2367.9111730729,0.5497875,1.7901
89,104.25871807481177,1.6110171,4.39400052
90,697.7314209622018,2.92300974,8.95398462
91,168.41792919777285,0.8199954,3.51998703
92,80.19901390370137,0.78998976,3.3800004
93,280.69654866295474,0.56998809,2.69999163
94,168.41792919777285,2.35000521,5.96000916
95,210.0059298476762,2.40013125,10.31990625
96,528.1586259642157,4.56991875,24.73993125
97,171.6515534383701,1.779975,8.23010625
98,144.35822502666244,2.36000709,6.47998785
99,409.01497090887693,5.80998096,14.82000786
100,174.79535478339517,0.2602125,1.72985625
101,82.99635550866246,0.548775,3.6439875
102,105.0029649238381,0.26476875,1.233225
103,127.63833460801877,0.2602125,1.75010625
104,82.99635550866246,0.5497875,3.66980625
105,98.71536223378791,0.27995625,1.24993125
106,82.99635550866246,0.5497875,3.67993125
107,649.612012619981,0.64000125,2.70999351
108,168.41792919777285,2.35000521,5.97001104
109,649.612012619981,0.64000125,2.70999351
110,216.5373375399937,4.06000917,9.76000914
111,80.19901390370137,1.44999477,3.50998515
112,96.23881668444163,0.75998412,3.23001189
113,48.11940834222082,0.9200142,1.6900002
114,16.03980278074027,0.09001692,0.89000856
115,32.07960556148054,0.48001086,1.20998934
116,80.19901390370137,1.3300119,3.50998515
117,16.03980278074027,0.1000188,0.8199954
118,477.229044174809,0.92998125,5.9200875
119,82.99635550866246,0.54016875,3.61006875
120,95.57156088876283,0.650025,4.35020625
121,101.85916357881301,0.650025,4.35020625
122,101.85916357881301,0.650025,4.31983125
123,439.503428034508,0.2500875,0.4698
124,1044.370806817336,0.09315,0.8049375
125,1075.808820267587,0.1002375,0.86619375
126,964.5182526536985,0.38019375,1.6999875
127,942.511643238523,0.0901125,0.53004375
128,432.5870650754528,0.06024375,0.2399625
129,1744.1809862199216,0.159975,1.12995
130,248.61694310147416,1.86999435,4.29001272
131,296.736351443695,1.43999289,6.11999955
132,464.0250785257038,8.376075,24.0381
133,94.78561055250657,1.370025,4.6701
134,586.6333309816823,0.36905625,2.5909875
135,571.5430845255619,0.38221875,2.65021875
136,928.9181858576827,2.580428,28.10024
137,98.71536223378791,0.87024375,4.4398125
138,484.14540713386424,4.63978125,21.859875
139,378.51368194102116,2.46999375,16.4298375
140,493.5768111689396,3.21013125,21.6401625
141,343.9318671457452,3.5002125,15.81980625
142,582.6129010967859,0.840408,11.049488
143,1648.862845328777,2.379712,31.239496
144,1145.8274157779392,1.210072,20.650644
145,1165.0053659843031,1.679372,22.110528
146,576.2202510279978,0.8303,10.939744
147,1648.6424091195088,2.376824,31.238052
148,1145.8274157779392,1.210072,20.630428
149,1165.0053659843031,1.68948,22.149516
150,951.8435516216123,2.629524,25.810056
151,16.03980278074027,0.11998287,0.4600071
152,16.03980278074027,0.44305947,0.81102546
153,168.41792919777285,2.78000667,7.56999432
154,320.7960556148055,4.36998807,11.69001477
155,144.35822502666244,1.35001566,5.78001501
156,24.05970417111041,0.00678699,0.01242297
157,229.4974981868318,0.3402,1.76023125
158,157.19006725125467,2.79699075,6.723
159,0.0,0.020007,0.07000425
160,0.0,0.16999875,0.4700025
161,50.92958178940651,0.31995,2.120175
162,44.64197909935632,0.309825,2.099925
163,50.92958178940651,0.3402,2.23003125
164,50.92958178940651,0.49005,2.3297625
165,50.92958178940651,0.31995,2.249775
166,152.7887453682195,0.99984375,6.69009375
167,152.7887453682195,0.990225,6.59998125
168,45.27073936836134,0.659925,2.310075
169,31.12363331574842,0.63,1.689975
170,76.07999254960724,0.010125,0.1002375
171,89.28395819871264,0.010125,0.1002375
172,117.57817030393848,1.03123125,5.52015
